O0,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11
2.0,4.649495166258683,4.997523574757688,4.996830094113643,4.990615971420698,4.995167713363838,3.942646274045426,4.194801099423391,4.394182017874606,4.995151541604107,4.988225884490461,4.996673944928458
3.0,4.591294738251026,4.992946556140886,4.9960314643576105,4.988071411186857,4.989977109077913,4.301506298634508,4.698910381645264,4.743118170886243,4.998811168628744,4.997093934902107,4.997328558891659
4.0,4.399182386593774,4.26728697183621,4.818034531881731,4.982665548645483,4.900194539941728,3.805349944927686,3.942193634954209,3.541744442992424,3.981720388854125,3.9852218643314057,3.9984073039232793
5.0,4.999592211672642,4.999659033173456,4.999074966608734,4.999193194446678,4.999369176589987,4.497207826405678,4.968716009201259,4.984941529403319,4.999744655784161,4.999513854726136,4.998927389609708
1.0,4.931989647218298,4.998235090036132,4.996853245950877,4.996920085418462,4.9980572242106,4.135411665355839,4.453391779299494,4.116548166086475,4.99880346640272,4.997035226308223,4.997771876171424
2.0,4.649491178069924,4.997523544309806,4.996830098721089,4.990615811753029,4.995167718283089,3.9426249334013344,4.194773174278921,4.394178917648173,4.995151448728207,4.988225902172658,4.996673943929138
3.0,4.591294738251026,4.992946556140886,4.9960314643576105,4.988071411186857,4.989977109077913,4.301506298634508,4.698910381645264,4.743118170886243,4.998811168628744,4.997093934902107,4.997328558891659
4.0,4.399182386593774,4.26728697183621,4.818034531881731,4.982665548645483,4.900194539941728,3.805349944927686,3.942193634954209,3.541744442992424,3.981720388854125,3.9852218643314057,3.9984073039232793
5.0,4.999592211672642,4.999659033173456,4.999074966608734,4.999193194446678,4.999369176589987,4.497207826405678,4.968716009201259,4.984941529403319,4.999744655784161,4.999513854726136,4.998927389609708
1.0,4.931989647218298,4.998235090036132,4.996853245950877,4.996920085418462,4.9980572242106,4.135411665355839,4.453391779299494,4.116548166086475,4.99880346640272,4.997035226308223,4.997771876171424
2.0,4.649491178069924,4.997523544309806,4.996830098721089,4.990615811753029,4.995167718283089,3.9426249334013344,4.194773174278921,4.394178917648173,4.995151448728207,4.988225902172658,4.996673943929138
3.0,4.591294738251026,4.992946556140886,4.9960314643576105,4.988071411186857,4.989977109077913,4.301506298634508,4.698910381645264,4.743118170886243,4.998811168628744,4.997093934902107,4.997328558891659
4.0,4.399182386593774,4.26728697183621,4.818034531881731,4.982665548645483,4.900194539941728,3.805349944927686,3.942193634954209,3.541744442992424,3.981720388854125,3.9852218643314057,3.9984073039232793
5.0,4.999592211672642,4.999659033173456,4.999074966608734,4.999193194446678,4.999369176589987,4.497207826405678,4.968716009201259,4.984941529403319,4.999744655784161,4.999513854726136,4.998927389609708
