,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
E2,0.74,0.11,-0.11,-0.02,-0.03
E3,0.76,0.24,-0.02,0.15,-0.03
E5,0.63,-0.15,0.26,0.13,0.19
E6,0.58,-0.27,0.2,0.13,0.08
E9,0.67,0.19,0.12,0.23,0.03
E10,0.65,0.35,0.08,0.05,0.15
E1,-0.77,0.03,0.1,-0.01,0.05
E4,-0.71,0.07,-0.01,-0.16,0.08
E7,-0.54,0.22,-0.18,-0.11,-0.23
E8,-0.5,0.06,-0.14,-0.06,-0.29
E11,-0.55,-0.29,0,0.05,-0.13
E12,-0.45,-0.06,-0.25,-0.16,-0.08
A13,0.07,0.71,0.06,-0.13,0.11
A15,0.18,0.58,0.19,0.05,0.14
A17,-0.02,0.65,0.19,0.08,0.11
A18,-0.01,0.6,0.19,0.05,0.1
A21,0.1,0.6,-0.02,0.15,0.03
A22,-0.01,0.61,0,0.24,0.05
A14,-0.16,-0.65,-0.13,0.04,0.01
A16,0.01,-0.44,-0.03,0.08,-0.13
A19,0.1,-0.65,-0.17,-0.13,-0.01
A20,0.26,-0.5,-0.17,-0.18,0.03
A23,-0.04,-0.52,-0.03,-0.28,-0.04
A24,-0.17,-0.39,0.05,-0.28,0.06
C26,-0.08,0.02,0.7,0,-0.03
C27,0.01,0,0.73,0,-0.11
C29,0.16,0.09,0.68,0.13,0.06
C30,0.08,0.13,0.66,0.13,0.06
C35,0.12,0.3,0.54,0.14,0.02
C36,0.08,0.22,0.51,0.19,0.01
C25,-0.03,0.01,-0.75,-0.03,0.06
C28,-0.03,-0.01,-0.69,-0.04,0.07
C31,-0.23,-0.1,-0.67,-0.07,-0.05
C32,-0.17,-0.03,-0.6,-0.12,0
C33,0.01,-0.15,-0.61,-0.06,0.03
C34,0.07,-0.17,-0.59,-0.1,0.07
N37,0.05,0.04,0.1,0.76,0.07
N39,0.13,-0.01,0.03,0.66,-0.04
N43,0.33,0.09,0.19,0.58,0.04
N44,0.33,0.15,0.2,0.56,0.12
N45,0,0.09,0.13,0.8,0.05
N47,-0.16,0.05,0.23,0.7,0.07
N38,-0.18,0.01,0.09,-0.69,0.01
N40,-0.06,-0.15,0.04,-0.59,0.05
N41,-0.36,-0.09,-0.17,-0.64,0.04
N42,-0.39,-0.08,-0.14,-0.64,0.09
N46,0.1,-0.05,-0.11,-0.73,-0.04
N48,-0.02,-0.22,-0.17,-0.64,0.03
O50,-0.09,-0.03,0.12,-0.12,0.56
O52,0.04,0.15,-0.06,-0.05,0.5
O53,-0.12,0.09,-0.11,-0.07,0.67
O55,-0.03,0.07,0,-0.03,0.61
O58,0.25,-0.06,0.14,0.13,0.55
O59,0.24,0.03,0.08,0.19,0.57
O49,-0.02,-0.06,0.09,-0.07,-0.69
O51,-0.06,0.08,0.05,-0.01,-0.54
O54,-0.03,-0.08,0.05,0.04,-0.64
O56,-0.01,-0.11,0.01,0.04,-0.54
O57,-0.15,-0.07,0.03,0,-0.66
O60,-0.12,-0.1,0.05,-0.1,-0.54
